AoA,Mach_0.2,Mach_0.3,Mach_0.4,Mach_0.5,Mach_0.6,Mach_0.7,Mach_0.8,Mach_0.9
-180.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
-174.0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
-170.0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
-166.0,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
-133.0,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865
-113.0,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635
-58.0,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89
-38.0,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
-20.0,-1.005,-1.03,-1.07,-1.13,-1.14,-0.868,-0.845,-1.01
-15.0,-1.195,-1.225,-1.285,-1.23,-1.13,-0.88,-0.827,-1.01
-14.0,-1.25,-1.28,-1.33,-1.26,-1.12,-0.88,-0.814,-1.01
-12.0,-1.122,-1.15,-1.2,-1.14,-1.092,-0.86,-0.791,-1.01
-10.0,-0.91,-0.93,-0.97,-0.93,-1.05,-0.83,-0.77,-0.947
-6.0,-0.4815,-0.493,-0.51,-0.55,-0.585,-0.64,-0.65,-0.41
-4.0,-0.321,-0.33,-0.335,-0.36,-0.39,-0.41,-0.475,-0.22
-3.0,-0.1947,-0.2,-0.217,-0.228,-0.232,-0.269,-0.3601,-0.173
-2.0,-0.0905,-0.093,-0.103,-0.106,-0.103,-0.1226,-0.16,-0.0744
-1.0,0.0134,0.0134,0.0113,0.015,0.0255,0.025,0.0326,0.0159
0.0,0.121,0.1243,0.1256,0.1376,0.154,0.1708,0.229,0.1028
1.0,0.2269,0.233,0.24,0.2509,0.2833,0.315,0.35,0.183
2.0,0.3326,0.3416,0.3542,0.3812,0.411,0.4642,0.371,0.2708
3.0,0.4381,0.45,0.468,0.5,0.5465,0.5894,0.419,0.3585
4.0,0.5442,0.5589,0.5828,0.6248,0.668,0.68,0.4755,0.4421
5.0,0.6494,0.667,0.7,0.746,0.7845,0.7319,0.5382,0.5256
6.0,0.7557,0.7762,0.8114,0.8684,0.901,0.7747,0.6037,0.6175
7.0,0.8616,0.885,0.925,0.99,0.99,0.805,0.6821,0.7106
8.0,0.9673,0.9935,1.0397,1.112,1.049,0.8245,0.7533,0.796
9.0,1.069,1.098,1.14,1.2001,1.07,0.8388,0.8317,0.8815
10.0,1.1654,1.197,1.24,1.2449,1.07,0.8632,0.9029,0.9599
11.0,1.2521,1.286,1.3356,1.25,1.0525,0.8887,0.9813,1.0454
12.0,1.3387,1.375,1.3875,1.2318,1.02,0.9306,1.0525,1.1238
13.0,1.4169,1.4559,1.3702,1.1852,0.999,0.9785,1.1309,1.2093
14.0,1.4893,1.4891,1.2535,1.1293,1.0,1.0332,1.2093,1.2876
15.0,1.52,1.4437,1.139,1.0808,1.0127,1.088,1.2734,1.3589
16.0,1.4655,1.3,1.0288,1.0453,1.036,1.1428,1.3446,1.4301
17.0,1.2775,1.1186,0.95,1.0248,1.064,1.1975,1.4016,1.4942
18.0,1.0796,1.0,0.913,1.01,1.1,1.2523,1.4586,1.5512
19.0,0.9626,0.9236,0.8883,1.0,1.1394,1.307,1.5156,1.6154
20.0,1.025,1.05,1.09,1.2,1.26,1.367,0.76,1.19
38.0,1.135,1.135,1.135,1.135,1.135,1.135,1.135,1.135
58.0,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
113.0,-0.635,-0.635,-0.635,-0.635,-0.635,-0.635,-0.635,-0.635
133.0,-0.865,-0.865,-0.865,-0.865,-0.865,-0.865,-0.865,-0.865
158.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
166.0,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72
170.0,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82
180.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
